category,file,test,status
frontend,src/hooks/useCapacity.test.js,useCapacity clear() resets data and loading,pass
frontend,src/hooks/useEmbed.test.js,useEmbed starts IDLE with no result/error,pass
frontend,src/hooks/useEmbed.test.js,useEmbed goes PROCESSING -> COMPLETE and stores the result on success,pass
frontend,src/hooks/useEmbed.test.js,useEmbed goes PROCESSING -> ERROR and re-throws on failure,pass
frontend,src/hooks/useEmbed.test.js,useEmbed reset() returns to IDLE and clears result/error,pass
frontend,src/hooks/useEmbed.test.js,useEmbed a fresh embed() call clears a previous error,pass
frontend,src/hooks/useExtract.test.js,useExtract — extract step starts IDLE,pass
frontend,src/hooks/useExtract.test.js,useExtract — extract step PROCESSING -> REVEALED on a found payload,pass
frontend,src/hooks/useExtract.test.js,"useExtract — extract step PROCESSING -> ERROR with code ""no_payload"" when nothing is found",pass
frontend,src/hooks/useExtract.test.js,useExtract — decrypt step throws synchronously if called before a successful extract,pass
frontend,src/hooks/useExtract.test.js,useExtract — decrypt step REVEALED -> DECRYPTING -> DECRYPTED on the right passphrase,pass
frontend,src/hooks/useExtract.test.js,useExtract — decrypt step a wrong passphrase drops back to REVEALED (not ERROR) so the user can retry,pass
frontend,src/hooks/useExtract.test.js,useExtract — decrypt step defaults to an empty-string passphrase when none is given,pass
frontend,src/hooks/useExtract.test.js,useExtract — reset clears state/result/plaintext/error back to IDLE,pass
frontend,src/components/Embed/CapacityMeter.test.jsx,CapacityMeter shows an idle hint when there is no data and not loading,pass
frontend,src/components/Embed/CapacityMeter.test.jsx,"CapacityMeter shows an ""estimating"" hint while loading with no data yet",pass
frontend,src/components/Embed/CapacityMeter.test.jsx,CapacityMeter shows the non-recoverable message for adaptive/steganogan-style data,pass
frontend,src/components/Embed/CapacityMeter.test.jsx,CapacityMeter shows used/max bytes for a recoverable method within capacity,pass
frontend,src/components/Embed/CapacityMeter.test.jsx,CapacityMeter flags an over-capacity message with an error and no crash on the bar width,pass
frontend,src/components/Embed/CapacityMeter.test.jsx,CapacityMeter treats a missing messageBytes as zero used,pass
frontend,src/components/Embed/GeneratorPicker.test.jsx,"GeneratorPicker renders one radio button per method, in METHOD_ORDER",pass
frontend,src/components/Embed/GeneratorPicker.test.jsx,GeneratorPicker marks the selected method as checked and the rest as unchecked,pass
frontend,src/components/Embed/GeneratorPicker.test.jsx,GeneratorPicker calls onChange with the clicked method id,pass
frontend,src/components/Embed/GeneratorPicker.test.jsx,"GeneratorPicker tags non-recoverable methods ""noise only"" and leaves recoverable ones untagged",pass
frontend,src/components/Embed/GeneratorPicker.test.jsx,GeneratorPicker shows the technical name alongside the plain-English label,pass
frontend,src/components/Embed/ParamControls.test.jsx,ParamControls renders a field for every param of the method,pass
frontend,src/components/Embed/ParamControls.test.jsx,ParamControls renders nothing for a method with no configurable params,pass
frontend,src/components/Embed/ParamControls.test.jsx,"ParamControls hides a param whose showIf condition is not met (lsb step, strategy=sequential)",pass
frontend,src/components/Embed/ParamControls.test.jsx,"ParamControls shows the param once its showIf condition is met (lsb step, strategy=skip)",pass
frontend,src/components/Embed/ParamControls.test.jsx,ParamControls fires onChange with the raw string value for a select field,pass
frontend,src/components/Embed/ParamControls.test.jsx,ParamControls fires onChange with a parsed Number (not a string) for a number field,pass
frontend,src/components/Embed/ParamControls.test.jsx,ParamControls emits an empty string (not NaN) when a number field is cleared,pass
