request_type,run_id,index,filename,latency_seconds,status_code
batch,4,16,4778395132.jpg,0.37872409308329225,200
batch,4,17,5501939710.jpg,0.2563141598366201,200
batch,4,18,1335877200.jpg,0.280518043320626,200
batch,4,19,358718746.jpg,0.28757274616509676,200
batch,4,20,4291704682.jpg,0.2638514479622245,200
batch,4,21,1691573772.jpg,0.28950845496729016,200
batch,4,22,3484393667.jpg,0.3595838323235512,200
batch,4,23,3601569729.jpg,0.2389648947864771,200
batch,4,24,1570065565.jpg,0.2881739600561559,200
batch,4,25,2475640704.jpg,0.2602878990583122,200
batch,4,26,404591372.jpg,0.34119525691494346,200
batch,4,27,624072749.jpg,0.2993981270119548,200
batch,4,28,3303507839.jpg,0.2360853459686041,200
batch,4,29,4411735241.jpg,0.2271247049793601,200
batch,4,30,2295447147.jpg,0.2915980191901326,200
batch,4,31,2422635544.jpg,0.2585967779159546,200
batch,4,32,109202801.jpg,0.23526646802201867,200
batch,4,33,46360594.jpg,0.23983727302402258,200
batch,4,34,3777739107.jpg,0.42503378819674253,200
batch,4,35,6206340700.jpg,0.23818449303507805,200
batch,4,36,5829827359.jpg,0.17926045507192612,200
batch,4,37,1526260626.jpg,0.20278258761391044,200
batch,4,38,5690859699.jpg,0.2038965718820691,200
batch,4,39,5039758111.jpg,0.2693502251058817,200
batch,4,40,539676201.jpg,0.26097876904532313,200
batch,4,41,6322364581.jpg,0.22651278087869287,200
batch,4,42,4653291146.jpg,0.24729408510029316,200
batch,4,43,3325129757.jpg,0.23754414496943355,200
batch,4,44,3119903318.jpg,0.20993731822818518,200
batch,4,45,5171265627.jpg,0.3656068602576852,200
batch,4,46,539761097.jpg,0.22753148013725877,200
batch,4,47,4862594943.jpg,0.23991543985903263,200
batch,4,48,5166720997.jpg,0.25591314816847444,200
batch,4,49,3149185449.jpg,0.2949538240209222,200
batch,4,50,4444147335.jpg,0.2801145580597222,200
batch,4,51,4752537082.jpg,0.3376865410245955,200
batch,4,52,3702436188.jpg,0.26810355577617884,200
batch,4,53,5526034.jpg,0.2683904622681439,200
batch,4,54,3157744152.jpg,0.26299684680998325,200
batch,4,55,8052380671.jpg,0.26142119197174907,200
batch,4,56,2422898984.jpg,0.24162600608542562,200
batch,4,57,3365049500.jpg,0.24814626621082425,200
batch,4,58,3207676216.jpg,0.20013732137158513,200
batch,4,59,6319369709.jpg,0.23443224420771003,200
batch,4,60,3380929595.jpg,0.2764753527007997,200
batch,4,61,4612024952.jpg,0.216855363920331,200
batch,4,62,4680828876.jpg,0.3215840831398964,200
batch,4,63,4033800420.jpg,0.24769883416593075,200
batch,4,64,4943187092.jpg,0.2806038190610707,200
batch,4,65,367602066.jpg,0.25319620268419385,200
batch,4,66,4857778452.jpg,0.2993065631017089,200
batch,4,67,4670863950.jpg,0.2979974183253944,200
batch,4,68,4772018990.jpg,0.23229448217898607,200
batch,4,69,2735792721.jpg,0.2570529608055949,200
batch,4,70,2173312932.jpg,0.24845919897779822,200
batch,4,71,5447844412.jpg,0.354926825966686,200
batch,4,72,5014752481.jpg,0.2577025000937283,200
batch,4,73,3680218298.jpg,0.28295933408662677,200
batch,4,74,6078212486.jpg,0.27069090493023396,200
batch,4,75,2128893830.jpg,0.2832667240872979,200
batch,4,76,1368512916.jpg,0.25279078586027026,200
batch,4,77,72010346.jpg,0.28756955685094,200
batch,4,78,2065875490.jpg,0.2531544719822705,200
batch,4,79,3948003394.jpg,0.40057522198185325,200
batch,4,80,3333860706.jpg,0.21832071710377932,200
batch,4,81,190638179.jpg,0.24169395677745342,200
batch,4,82,3618115051.jpg,0.35237761214375496,200
batch,4,83,2631392326.jpg,0.24253503512591124,200
batch,4,84,3776547343.jpg,0.2838410879485309,200
batch,4,85,3437147889.jpg,0.28282863972708583,200
batch,4,86,3163198309.jpg,0.25704868882894516,200
batch,4,87,3826417429.jpg,0.2387709580361843,200
batch,4,88,238967220.jpg,0.22871540673077106,200
batch,4,89,4375286847.jpg,0.4326989911496639,200
batch,4,90,4557915399.jpg,0.20084293326362967,200
batch,4,91,2620483456.jpg,0.2724106181412935,200
batch,4,92,3631671718.jpg,0.25092943804338574,200
batch,4,93,2719101587.jpg,0.27450112719088793,200
batch,4,94,4729746211.jpg,0.2632602178491652,200
batch,4,95,3406409018.jpg,0.25132365711033344,200
batch,4,96,1224744193.jpg,0.24950641486793756,200
batch,4,97,4633066958.jpg,0.2660225760191679,200
batch,4,98,3594029059.jpg,0.27641995903104544,200
batch,4,99,7879838102.jpg,0.2441789312288165,200
batch,5,0,2512905710.jpg,0.2919815327040851,200
batch,5,1,6348201976.jpg,0.28637140803039074,200
batch,5,2,136639119.jpg,0.4568000501021743,200
batch,5,3,3018847610.jpg,0.2779875402338803,200
batch,5,4,4477602852.jpg,0.2179582118988037,200
batch,5,5,4527012288.jpg,0.2507582791149616,200
batch,5,6,4705001158.jpg,0.2699790680781007,200
batch,5,7,5931115247.jpg,0.2612865730188787,200
